angle_fingers_lr:discrete,fingers:discrete,fingers_avg_angle:discrete,lm_fing_tip_rel_pos_y:discrete,lm_fing_tip_rel_pos_z:discrete,rm_fing_tip_rel_pos_z:discrete,cls:nominal:class
3,40,3,12,43,43,move1
3,40,3,12,43,43,move1
3,40,3,12,43,43,move1
3,40,3,12,43,43,move1
3,40,3,12,43,43,move1
3,40,3,12,43,43,move1
3,40,3,12,43,43,move1
3,40,3,12,43,43,move1
3,40,3,12,43,43,move1
3,40,3,13,43,43,move1
3,40,3,13,43,43,move1
3,40,3,13,43,43,move1
3,40,3,13,43,43,move1
3,40,3,13,43,43,move1
3,40,3,13,43,43,move1
3,40,3,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
6,40,6,13,43,43,move1
6,40,6,13,43,43,move1
6,40,6,13,43,43,move1
6,40,6,13,43,43,move1
6,40,6,13,43,43,move1
6,40,6,13,43,43,move1
6,40,6,13,43,43,move1
7,40,7,13,43,43,move1
7,40,7,13,44,44,move1
7,40,7,13,44,44,move1
7,40,7,13,44,44,move1
7,40,7,13,44,44,move1
8,40,8,13,44,44,move1
8,40,8,13,44,44,move1
8,40,8,13,44,44,move1
8,40,8,13,43,43,move1
9,40,9,12,43,43,move1
9,40,9,12,43,43,move1
9,40,9,12,43,43,move1
10,40,10,12,43,43,move1
10,40,10,12,43,43,move1
9,40,9,12,43,43,move1
9,40,9,12,43,43,move1
10,40,10,12,43,43,move1
10,40,10,11,43,43,move1
10,40,10,11,43,43,move1
10,40,10,11,43,43,move1
10,40,10,11,42,42,move1
10,40,10,11,42,42,move1
10,40,10,11,42,42,move1
10,40,10,10,42,42,move1
10,40,10,10,42,42,move1
9,40,9,10,42,42,move1
8,40,8,10,42,42,move1
8,40,8,10,42,42,move1
8,40,8,10,42,42,move1
8,40,8,10,42,42,move1
8,40,8,11,42,42,move1
8,40,8,11,42,42,move1
8,40,8,11,42,42,move1
8,40,8,11,42,42,move1
8,40,8,12,42,42,move1
7,40,7,12,42,42,move1
6,40,6,12,42,42,move1
5,40,5,12,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
3,40,3,13,42,42,move1
4,40,4,13,42,42,move1
3,40,3,13,43,43,move1
3,40,3,13,43,43,move1
3,40,3,13,43,43,move1
3,40,3,14,43,43,move1
4,40,4,14,43,43,move1
4,40,4,14,43,43,move1
4,40,4,14,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
4,40,4,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
5,40,5,13,43,43,move1
6,40,6,13,43,43,move1
6,40,6,13,43,43,move1
6,40,6,13,43,43,move1
6,40,6,12,43,43,move1
6,40,6,12,43,43,move1
6,40,6,12,42,42,move1
6,40,6,11,42,42,move1
6,40,6,11,43,43,move1
6,40,6,11,43,43,move1
5,40,5,11,43,43,move1
6,40,6,11,43,43,move1
5,40,5,11,43,43,move1
6,40,6,10,43,43,move1
6,40,6,10,43,43,move1
6,40,6,10,43,43,move1
7,40,7,10,43,43,move1
7,40,7,10,43,43,move1
6,40,6,10,43,43,move1
6,40,6,10,43,43,move1
6,40,6,10,43,43,move1
6,40,6,10,43,43,move1
6,40,6,10,43,43,move1
6,40,6,11,43,43,move1
6,40,6,11,43,43,move1
6,40,6,11,43,43,move1
6,40,6,11,43,43,move1
6,40,6,11,43,43,move1
6,40,6,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
5,40,5,11,43,43,move1
4,40,4,11,42,42,move1
4,40,4,11,42,42,move1
4,40,4,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,12,42,42,move1
3,40,3,12,42,42,move1
3,40,3,12,42,42,move1
3,40,3,12,42,42,move1
3,40,3,12,42,42,move1
3,40,3,12,42,42,move1
3,40,3,13,42,42,move1
3,40,3,13,42,42,move1
3,40,3,13,42,42,move1
3,40,3,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,14,42,42,move1
4,40,4,14,43,43,move1
4,40,4,14,42,42,move1
5,40,5,14,42,42,move1
5,40,5,14,42,42,move1
5,40,5,14,42,42,move1
5,40,5,14,42,42,move1
5,40,5,14,43,43,move1
5,40,5,14,43,43,move1
5,40,5,14,43,43,move1
5,60,14,14,43,43,move1
5,60,15,14,43,43,move1
5,60,16,14,42,42,move1
5,40,5,14,42,42,move1
5,60,17,14,42,42,move1
5,60,19,14,42,42,move1
5,60,19,14,42,42,move1
5,60,18,14,42,42,move1
5,60,16,14,42,42,move1
5,60,15,14,42,42,move1
5,60,14,14,42,42,move1
5,60,14,13,42,42,move1
5,60,13,13,42,42,move1
5,60,12,13,43,43,move1
5,60,10,13,43,43,move1
5,60,8,13,43,43,move1
5,60,10,13,43,43,move1
5,60,11,13,43,43,move1
5,60,12,13,43,43,move1
5,60,16,13,43,43,move1
5,60,17,13,43,43,move1
5,60,15,12,43,43,move1
5,60,18,12,43,43,move1
5,60,18,12,43,43,move1
5,60,20,12,43,43,move1
5,60,20,12,43,43,move1
5,40,5,12,43,43,move1
5,40,5,12,43,43,move1
5,40,5,12,43,43,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
6,40,6,12,42,42,move1
6,40,6,12,42,42,move1
6,40,6,12,42,42,move1
6,40,6,12,42,42,move1
6,40,6,12,42,42,move1
6,40,6,12,42,42,move1
6,40,6,12,42,42,move1
6,40,6,12,42,42,move1
6,40,6,12,43,43,move1
6,40,6,12,43,43,move1
6,40,6,12,43,43,move1
6,40,6,12,43,43,move1
6,40,6,12,43,43,move1
6,40,6,12,43,43,move1
6,40,6,12,44,44,move1
6,40,6,12,43,43,move1
6,40,6,12,43,43,move1
6,40,6,12,43,43,move1
6,40,6,12,43,43,move1
6,40,6,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,13,42,42,move1
5,40,5,13,42,42,move1
5,40,5,13,42,42,move1
5,40,5,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
4,40,4,13,42,42,move1
3,40,3,13,42,42,move1
3,40,3,13,42,42,move1
3,40,3,13,42,42,move1
2,40,2,13,42,42,move1
2,40,2,13,42,42,move1
2,40,2,13,42,42,move1
2,40,2,13,42,42,move1
2,40,2,13,42,42,move1
1,40,1,13,42,42,move1
1,40,1,13,42,42,move1
1,40,1,13,42,42,move1
1,40,1,13,43,43,move1
1,40,1,13,43,43,move1
1,40,1,13,42,42,move1
1,40,1,13,42,42,move1
0,40,0,13,42,42,move1
0,40,0,13,42,42,move1
0,40,0,13,42,42,move1
0,40,0,13,42,42,move1
0,40,0,13,42,42,move1
0,40,0,13,42,42,move1
0,40,0,12,42,42,move1
0,40,0,12,42,42,move1
0,40,0,12,42,42,move1
0,40,0,12,42,42,move1
0,40,0,12,42,42,move1
0,40,0,12,42,42,move1
0,40,0,12,42,42,move1
0,40,0,12,42,42,move1
0,40,0,12,42,42,move1
1,40,1,13,42,42,move1
1,40,1,13,43,43,move1
1,40,1,13,43,43,move1
1,40,1,13,43,43,move1
1,40,1,13,43,43,move1
1,40,1,13,43,43,move1
2,40,2,13,43,43,move1
2,40,2,14,42,42,move1
2,40,2,14,42,42,move1
2,40,2,14,42,42,move1
2,40,2,14,42,42,move1
2,40,2,14,42,42,move1
2,40,2,15,42,42,move1
2,40,2,15,42,42,move1
2,60,2,15,42,42,move1
3,60,2,15,42,42,move1
3,60,2,15,42,42,move1
3,60,2,15,42,42,move1
3,60,2,15,42,42,move1
3,40,3,15,42,42,move1
3,40,3,15,42,42,move1
3,40,3,15,42,42,move1
3,40,3,15,42,42,move1
3,40,3,15,41,41,move1
3,40,3,15,41,41,move1
3,40,3,15,41,41,move1
3,40,3,15,41,41,move1
3,40,3,16,41,41,move1
3,40,3,16,41,41,move1
3,40,3,16,41,41,move1
3,40,3,16,40,40,move1
3,40,3,16,40,40,move1
3,40,3,16,40,40,move1
3,40,3,16,40,40,move1
3,40,3,16,40,40,move1
3,40,3,16,40,40,move1
3,40,3,16,40,40,move1
4,40,4,16,40,40,move1
4,40,4,16,40,40,move1
4,40,4,16,40,40,move1
4,40,4,16,40,40,move1
4,40,4,16,41,41,move1
4,40,4,16,41,41,move1
4,40,4,16,41,41,move1
5,40,5,16,41,41,move1
5,40,5,16,40,40,move1
6,40,6,16,40,40,move1
6,40,6,16,40,40,move1
6,40,6,16,40,40,move1
6,40,6,16,40,40,move1
6,40,6,16,40,40,move1
6,40,6,16,40,40,move1
6,40,6,16,40,40,move1
6,40,6,16,40,40,move1
6,40,6,16,41,41,move1
6,40,6,16,41,41,move1
6,40,6,15,41,41,move1
6,40,6,15,41,41,move1
6,40,6,15,41,41,move1
6,40,6,15,41,41,move1
5,40,5,15,41,41,move1
5,40,5,15,42,42,move1
5,40,5,15,42,42,move1
5,40,5,14,42,42,move1
5,40,5,14,42,42,move1
5,40,5,14,42,42,move1
5,40,5,14,42,42,move1
5,40,5,14,42,42,move1
5,40,5,13,42,42,move1
4,40,4,13,42,42,move1
5,40,5,13,42,42,move1
5,40,5,13,42,42,move1
5,40,5,13,42,42,move1
4,40,4,13,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
4,40,4,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
5,40,5,12,42,42,move1
4,40,4,12,42,42,move1
4,40,4,12,42,42,move1
4,40,4,12,42,42,move1
4,40,4,12,42,42,move1
4,40,4,12,42,42,move1
4,40,4,12,41,41,move1
4,40,4,12,41,41,move1
4,40,4,12,41,41,move1
4,40,4,12,41,41,move1
4,40,4,12,41,41,move1
4,40,4,11,41,41,move1
4,40,4,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,42,42,move1
3,40,3,11,43,43,move1
0,20,0,11,43,43,move1
3,40,3,11,43,43,move1
3,40,3,11,43,43,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
2,40,2,11,44,44,move1
