angle_fingers_lr:discrete,fingers:discrete,fingers_avg_angle:discrete,lm_fing_tip_rel_pos_y:discrete,lm_fing_tip_rel_pos_z:discrete,rm_fing_tip_rel_pos_z:discrete,cls:nominal:class
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
9,40,9,10,39,39,move1
9,40,9,10,39,39,move1
9,40,9,10,39,39,move1
9,40,9,10,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
8,40,8,11,39,39,move1
8,40,8,11,39,39,move1
8,40,8,11,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,13,39,39,move1
7,40,7,13,39,39,move1
7,40,7,13,39,39,move1
7,40,7,13,39,39,move1
7,40,7,13,39,39,move1
7,40,7,14,39,39,move1
7,40,7,14,39,39,move1
7,40,7,14,39,39,move1
7,40,7,14,39,39,move1
8,40,8,14,39,39,move1
8,40,8,14,39,39,move1
8,40,8,13,39,39,move1
8,40,8,13,39,39,move1
8,40,8,13,39,39,move1
9,40,9,13,39,39,move1
9,40,9,13,39,39,move1
9,40,9,13,39,39,move1
10,40,10,13,39,39,move1
10,40,10,13,39,39,move1
10,40,10,12,39,39,move1
10,40,10,12,39,39,move1
11,40,11,12,39,39,move1
11,40,11,12,39,39,move1
11,40,11,12,39,39,move1
11,40,11,12,39,39,move1
11,40,11,11,39,39,move1
11,40,11,11,39,39,move1
11,40,11,11,39,39,move1
11,40,11,11,39,39,move1
11,40,11,11,39,39,move1
11,40,11,11,38,38,move1
11,40,11,11,38,38,move1
11,40,11,11,38,38,move1
11,40,11,11,38,38,move1
11,40,11,11,38,38,move1
11,40,11,11,38,38,move1
11,40,11,11,37,37,move1
11,40,11,11,37,37,move1
11,40,11,11,37,37,move1
10,40,10,11,37,37,move1
10,40,10,11,37,37,move1
10,40,10,11,37,37,move1
11,40,11,11,37,37,move1
11,40,11,11,37,37,move1
11,40,11,11,37,37,move1
11,40,11,11,37,37,move1
11,40,11,11,37,37,move1
11,40,11,11,37,37,move1
11,40,11,11,37,37,move1
11,40,11,10,38,38,move1
11,40,11,10,38,38,move1
11,40,11,11,38,38,move1
11,40,11,11,38,38,move1
0,0,0,39,29,29,move1
11,40,11,10,39,39,move1
11,40,11,11,39,39,move1
11,40,11,11,39,39,move1
11,40,11,11,39,39,move1
11,40,11,11,40,40,move1
11,40,11,11,40,40,move1
11,40,11,11,40,40,move1
12,40,12,11,40,40,move1
12,40,12,12,40,40,move1
12,40,12,12,41,41,move1
12,40,12,12,41,41,move1
12,40,12,12,41,41,move1
12,40,12,12,41,41,move1
12,40,12,12,41,41,move1
12,40,12,12,41,41,move1
11,40,11,12,41,41,move1
11,40,11,12,41,41,move1
11,40,11,12,40,40,move1
11,40,11,12,40,40,move1
11,40,11,12,40,40,move1
10,40,10,12,40,40,move1
10,40,10,12,40,40,move1
10,40,10,12,39,39,move1
9,40,9,12,39,39,move1
9,40,9,12,39,39,move1
9,40,9,12,39,39,move1
9,40,9,12,39,39,move1
9,40,9,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,12,38,38,move1
7,40,7,12,38,38,move1
6,40,6,12,38,38,move1
6,40,6,12,38,38,move1
6,40,6,12,38,38,move1
0,20,0,12,38,38,move1
6,40,6,12,38,38,move1
6,40,6,12,39,39,move1
6,40,6,12,39,39,move1
6,40,6,12,39,39,move1
5,40,5,12,39,39,move1
5,40,5,12,39,39,move1
5,40,5,13,40,40,move1
5,40,5,12,39,39,move1
5,40,5,12,39,39,move1
4,40,4,12,39,39,move1
5,40,5,12,39,39,move1
5,40,5,12,39,39,move1
5,40,5,13,39,39,move1
5,40,5,13,39,39,move1
5,40,5,13,39,39,move1
5,40,5,13,39,39,move1
5,40,5,13,38,38,move1
6,40,6,13,38,38,move1
6,40,6,13,38,38,move1
6,40,6,13,38,38,move1
6,40,6,12,38,38,move1
6,40,6,12,38,38,move1
6,40,6,12,38,38,move1
7,40,7,12,38,38,move1
7,40,7,12,38,38,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
9,40,9,12,39,39,move1
9,40,9,12,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
10,40,10,10,39,39,move1
10,40,10,11,39,39,move1
10,40,10,11,39,39,move1
9,40,9,11,39,39,move1
9,40,9,11,39,39,move1
10,40,10,11,39,39,move1
10,40,10,11,39,39,move1
10,40,10,11,39,39,move1
10,40,10,12,39,39,move1
10,40,10,12,39,39,move1
10,40,10,12,39,39,move1
9,40,9,12,39,39,move1
9,40,9,12,39,39,move1
9,40,9,12,39,39,move1
9,40,9,12,39,39,move1
9,40,9,13,39,39,move1
9,40,9,13,39,39,move1
9,40,9,13,40,40,move1
9,40,9,13,40,40,move1
9,40,9,13,40,40,move1
8,40,8,13,40,40,move1
8,40,8,13,40,40,move1
8,40,8,13,40,40,move1
8,40,8,13,40,40,move1
8,40,8,13,41,41,move1
7,40,7,13,41,41,move1
7,40,7,13,41,41,move1
7,40,7,13,42,42,move1
7,40,7,12,42,42,move1
7,40,7,12,42,42,move1
7,40,7,12,42,42,move1
7,40,7,12,42,42,move1
6,40,6,12,42,42,move1
6,40,6,12,42,42,move1
0,20,0,12,42,42,move1
6,40,6,12,41,41,move1
6,40,6,12,41,41,move1
6,40,6,12,41,41,move1
6,40,6,11,41,41,move1
6,40,6,11,41,41,move1
6,40,6,11,41,41,move1
6,40,6,11,41,41,move1
6,40,6,11,41,41,move1
6,40,6,11,41,41,move1
6,40,6,11,41,41,move1
6,40,6,11,42,42,move1
6,40,6,11,42,42,move1
6,40,6,10,42,42,move1
6,40,6,10,42,42,move1
6,40,6,10,42,42,move1
6,40,6,10,43,43,move1
7,40,7,10,43,43,move1
7,40,7,10,43,43,move1
7,40,7,11,43,43,move1
7,40,7,11,42,42,move1
7,40,7,11,42,42,move1
7,40,7,11,42,42,move1
7,40,7,11,42,42,move1
7,40,7,11,42,42,move1
7,40,7,11,42,42,move1
7,40,7,11,42,42,move1
7,40,7,11,42,42,move1
7,40,7,11,42,42,move1
6,40,6,11,42,42,move1
6,40,6,11,41,41,move1
7,40,7,11,41,41,move1
6,40,6,11,41,41,move1
7,40,7,12,41,41,move1
7,40,7,12,41,41,move1
7,40,7,12,41,41,move1
7,40,7,12,40,40,move1
7,40,7,12,40,40,move1
7,40,7,12,40,40,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
7,40,7,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,12,39,39,move1
8,40,8,11,39,39,move1
7,40,7,11,40,40,move1
7,40,7,11,40,40,move1
8,40,8,11,40,40,move1
8,40,8,11,40,40,move1
8,40,8,11,40,40,move1
8,40,8,11,40,40,move1
8,40,8,11,40,40,move1
8,40,8,11,40,40,move1
8,40,8,10,40,40,move1
8,40,8,10,40,40,move1
8,40,8,10,40,40,move1
8,40,8,10,40,40,move1
8,40,8,10,40,40,move1
8,40,8,10,40,40,move1
8,40,8,9,40,40,move1
8,40,8,9,40,40,move1
8,40,8,9,40,40,move1
8,40,8,9,40,40,move1
8,40,8,9,40,40,move1
8,40,8,8,40,40,move1
8,40,8,8,41,41,move1
8,40,8,8,41,41,move1
8,40,8,8,41,41,move1
8,40,8,8,41,41,move1
8,40,8,8,41,41,move1
8,40,8,8,41,41,move1
9,40,9,8,41,41,move1
9,40,9,8,41,41,move1
0,20,0,13,41,41,move1
0,20,0,13,41,41,move1
0,0,0,53,26,26,move1
9,40,9,8,42,42,move1
9,40,9,8,42,42,move1
9,40,9,9,41,41,move1
9,40,9,9,41,41,move1
10,40,10,9,41,41,move1
9,40,9,9,41,41,move1
9,40,9,10,40,40,move1
9,40,9,10,41,41,move1
10,40,10,10,41,41,move1
10,40,10,10,41,41,move1
11,40,11,10,40,40,move1
10,40,10,11,40,40,move1
11,40,11,11,40,40,move1
11,40,11,11,40,40,move1
11,40,11,11,40,40,move1
0,20,0,11,41,41,move1
0,20,0,11,41,41,move1
0,20,0,12,41,41,move1
0,20,0,12,41,41,move1
0,20,0,12,41,41,move1
0,20,0,12,41,41,move1
0,20,0,12,41,41,move1
0,20,0,12,41,41,move1
0,20,0,12,41,41,move1
0,20,0,12,41,41,move1
0,20,0,12,41,41,move1
0,20,0,12,40,40,move1
0,20,0,12,40,40,move1
0,20,0,12,40,40,move1
0,20,0,12,40,40,move1
0,20,0,12,40,40,move1
0,20,0,12,40,40,move1
0,20,0,12,40,40,move1
0,20,0,12,40,40,move1
0,20,0,11,40,40,move1
0,20,0,11,40,40,move1
0,20,0,11,40,40,move1
0,20,0,11,40,40,move1
0,20,0,11,40,40,move1
0,20,0,11,40,40,move1
0,20,0,11,40,40,move1
0,20,0,11,40,40,move1
0,20,0,10,40,40,move1
0,20,0,10,40,40,move1
0,20,0,10,40,40,move1
0,20,0,10,40,40,move1
0,20,0,10,40,40,move1
6,40,6,9,40,40,move1
6,40,6,9,40,40,move1
6,40,6,9,40,40,move1
6,40,6,9,40,40,move1
7,40,7,9,40,40,move1
7,40,7,9,40,40,move1
7,40,7,9,40,40,move1
7,40,7,9,40,40,move1
7,40,7,9,40,40,move1
7,40,7,9,40,40,move1
6,40,6,9,39,39,move1
6,40,6,9,39,39,move1
6,40,6,9,39,39,move1
0,20,0,9,40,40,move1
7,40,7,8,40,40,move1
0,20,0,10,39,39,move1
7,40,7,8,40,40,move1
6,40,6,8,40,40,move1
6,40,6,8,40,40,move1
6,40,6,8,41,41,move1
5,40,5,8,41,41,move1
4,40,4,8,41,41,move1
4,40,4,8,41,41,move1
4,40,4,8,41,41,move1
3,40,3,8,41,41,move1
3,40,3,8,41,41,move1
2,40,2,8,41,41,move1
2,40,2,7,41,41,move1
2,40,2,7,41,41,move1
2,40,2,7,41,41,move1
2,40,2,7,41,41,move1
2,40,2,7,41,41,move1
0,20,0,7,41,41,move1
2,40,2,7,41,41,move1
3,40,3,7,41,41,move1
2,40,2,7,41,41,move1
2,40,2,8,41,41,move1
2,40,2,8,40,40,move1
2,40,2,8,40,40,move1
2,40,2,8,40,40,move1
2,40,2,8,40,40,move1
2,40,2,8,40,40,move1
2,40,2,8,40,40,move1
2,40,2,8,40,40,move1
2,40,2,8,40,40,move1
2,40,2,8,40,40,move1
2,40,2,9,40,40,move1
2,40,2,9,40,40,move1
2,40,2,9,40,40,move1
2,40,2,9,40,40,move1
2,40,2,9,40,40,move1
2,40,2,9,40,40,move1
2,40,2,10,40,40,move1
2,40,2,10,40,40,move1
2,40,2,10,40,40,move1
3,40,3,10,40,40,move1
3,40,3,10,40,40,move1
3,40,3,10,40,40,move1
3,40,3,10,40,40,move1
3,40,3,10,40,40,move1
3,40,3,11,41,41,move1
3,40,3,11,41,41,move1
3,40,3,11,41,41,move1
3,40,3,11,41,41,move1
3,40,3,11,41,41,move1
4,40,4,11,41,41,move1
4,40,4,11,41,41,move1
3,40,3,11,41,41,move1
3,40,3,11,40,40,move1
4,40,4,11,40,40,move1
4,40,4,11,40,40,move1
4,40,4,11,40,40,move1
4,40,4,11,40,40,move1
4,40,4,11,40,40,move1
4,40,4,11,40,40,move1
4,40,4,11,40,40,move1
4,40,4,10,41,41,move1
4,40,4,10,41,41,move1
5,40,5,10,41,41,move1
4,40,4,10,41,41,move1
5,40,5,10,40,40,move1
5,40,5,10,40,40,move1
5,40,5,10,40,40,move1
4,40,4,9,40,40,move1
4,40,4,9,40,40,move1
4,40,4,9,40,40,move1
4,40,4,9,40,40,move1
4,40,4,9,40,40,move1
4,40,4,9,41,41,move1
4,40,4,9,41,41,move1
4,40,4,9,41,41,move1
3,40,3,9,41,41,move1
3,40,3,9,42,42,move1
3,40,3,8,42,42,move1
3,40,3,8,42,42,move1
3,40,3,8,42,42,move1
4,40,4,8,42,42,move1
4,40,4,8,41,41,move1
3,40,3,8,41,41,move1
4,40,4,8,41,41,move1
4,40,4,8,41,41,move1
4,40,4,8,42,42,move1
4,40,4,8,42,42,move1
3,40,3,8,42,42,move1
4,40,4,8,42,42,move1
4,40,4,8,42,42,move1
4,40,4,8,42,42,move1
3,40,3,8,42,42,move1
3,40,3,8,42,42,move1
4,40,4,8,42,42,move1
4,40,4,8,42,42,move1
4,40,4,8,42,42,move1
4,40,4,8,42,42,move1
0,20,0,8,42,42,move1
5,40,5,8,41,41,move1
5,40,5,8,41,41,move1
5,40,5,8,41,41,move1
5,40,5,8,40,40,move1
5,40,5,8,40,40,move1
5,40,5,8,40,40,move1
5,40,5,8,40,40,move1
5,40,5,8,40,40,move1
5,40,5,8,40,40,move1
5,40,5,8,40,40,move1
6,40,6,9,40,40,move1
6,40,6,9,40,40,move1
6,40,6,9,40,40,move1
6,40,6,9,40,40,move1
6,40,6,9,40,40,move1
6,40,6,9,40,40,move1
6,40,6,10,40,40,move1
6,40,6,10,40,40,move1
6,40,6,10,41,41,move1
6,40,6,10,41,41,move1
7,40,7,10,41,41,move1
7,40,7,11,41,41,move1
7,40,7,11,41,41,move1
7,40,7,11,41,41,move1
8,40,8,11,41,41,move1
8,40,8,11,41,41,move1
8,40,8,11,41,41,move1
9,40,9,11,41,41,move1
9,40,9,12,41,41,move1
9,40,9,12,42,42,move1
9,40,9,12,42,42,move1
9,40,9,12,42,42,move1
9,40,9,12,42,42,move1
9,40,9,13,42,42,move1
10,40,10,13,42,42,move1
10,40,10,13,42,42,move1
10,40,10,13,42,42,move1
10,40,10,13,41,41,move1
9,40,9,13,41,41,move1
10,40,10,13,41,41,move1
10,40,10,13,41,41,move1
10,40,10,13,41,41,move1
10,40,10,12,41,41,move1
10,40,10,12,41,41,move1
9,40,9,12,41,41,move1
9,40,9,12,41,41,move1
9,40,9,12,41,41,move1
9,40,9,12,41,41,move1
9,40,9,12,41,41,move1
8,40,8,11,40,40,move1
8,40,8,11,40,40,move1
8,40,8,11,40,40,move1
8,40,8,11,40,40,move1
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
34,60,23,14,21,21,move2
10,40,10,12,44,44,move2
