angle_fingers_lr:discrete,dist_fingers_lr:discrete,fingers:discrete,lm_fing_tip_rel_pos_x:discrete,lm_fing_tip_rel_pos_y:discrete,lm_fing_tip_rel_pos_z:discrete,rm_fing_tip_rel_pos_x:discrete,rm_fing_tip_rel_pos_y:discrete,rm_fing_tip_rel_pos_z:discrete,cls:nominal:class
25,7478,200,4142,-1818,10862,4142,-1818,10862,move1
25,7476,200,4078,-1770,10780,4078,-1770,10780,move1
24,7498,200,4063,-1743,10660,4063,-1743,10660,move1
24,7523,200,4100,-1687,10508,4100,-1687,10508,move1
24,7454,200,4178,-1652,10355,4178,-1652,10355,move1
23,7419,200,4256,-1561,10231,4256,-1561,10231,move1
23,7393,200,4341,-1460,10058,4341,-1460,10058,move1
23,7365,200,4410,-1344,9900,4410,-1344,9900,move1
24,7336,200,4443,-1256,9776,4443,-1256,9776,move1
24,7305,200,4459,-1144,9649,4459,-1144,9649,move1
25,7267,200,4441,-1072,9488,4441,-1072,9488,move1
25,7229,200,4420,-1041,9418,4420,-1041,9418,move1
26,7187,200,4378,-1039,9370,4378,-1039,9370,move1
26,7139,200,4321,-1072,9357,4321,-1072,9357,move1
26,7086,200,4251,-1084,9374,4251,-1084,9374,move1
27,7034,200,4173,-1076,9418,4173,-1076,9418,move1
27,6984,200,4076,-1069,9456,4076,-1069,9456,move1
27,6933,200,3959,-997,9489,3959,-997,9489,move1
27,6876,200,3842,-960,9523,3842,-960,9523,move1
27,6803,200,3707,-894,9568,3707,-894,9568,move1
27,6751,200,3581,-825,9614,3581,-825,9614,move1
26,6698,200,3450,-761,9684,3450,-761,9684,move1
26,6646,200,3334,-665,9720,3334,-665,9720,move1
25,6600,200,3247,-591,9737,3247,-591,9737,move1
25,6560,200,3176,-501,9744,3176,-501,9744,move1
25,6528,200,3113,-409,9725,3113,-409,9725,move1
25,6500,200,3057,-324,9662,3057,-324,9662,move1
25,6478,200,2997,-256,9597,2997,-256,9597,move1
25,6478,200,2936,-167,9543,2936,-167,9543,move1
24,6475,200,2881,-69,9500,2881,-69,9500,move1
23,6462,200,2836,3,9486,2836,3,9486,move1
22,6446,200,2790,88,9475,2790,88,9475,move1
22,6421,200,2738,157,9455,2738,157,9455,move1
21,6383,200,2699,270,9462,2699,270,9462,move1
21,6328,200,2641,439,9470,2641,439,9470,move1
21,6258,200,2555,589,9464,2555,589,9464,move1
20,6142,200,2451,780,9444,2451,780,9444,move1
21,5985,200,2348,980,9401,2348,980,9401,move1
22,5803,200,2233,1128,9334,2233,1128,9334,move1
22,5611,200,2164,1277,9315,2164,1277,9315,move1
23,5470,200,2119,1386,9345,2119,1386,9345,move1
23,5388,200,2112,1497,9400,2112,1497,9400,move1
23,5361,200,2092,1592,9382,2092,1592,9382,move1
23,5384,200,2101,1653,9434,2101,1653,9434,move1
23,5441,200,2104,1701,9481,2104,1701,9481,move1
22,5535,200,2124,1731,9539,2124,1731,9539,move1
23,5636,200,2146,1741,9604,2146,1741,9604,move1
23,5730,200,2157,1739,9659,2157,1739,9659,move1
22,5816,200,2170,1724,9687,2170,1724,9687,move1
22,5900,200,2192,1693,9703,2192,1693,9703,move1
22,5985,200,2219,1659,9726,2219,1659,9726,move1
22,6069,200,2247,1629,9759,2247,1629,9759,move1
23,6153,200,2280,1600,9766,2280,1600,9766,move1
23,6231,200,2312,1552,9781,2312,1552,9781,move1
24,6290,200,2354,1464,9802,2354,1464,9802,move1
24,6345,200,2393,1393,9817,2393,1393,9817,move1
24,6380,200,2430,1303,9827,2430,1303,9827,move1
23,6392,200,2466,1235,9827,2466,1235,9827,move1
24,6384,200,2504,1169,9831,2504,1169,9831,move1
24,6373,200,2563,1103,9849,2563,1103,9849,move1
24,6360,200,2623,1026,9858,2623,1026,9858,move1
25,6351,200,2659,967,9864,2659,967,9864,move1
25,6342,200,2698,895,9836,2698,895,9836,move1
26,6344,200,2731,844,9821,2731,844,9821,move1
26,6347,200,2777,809,9809,2777,809,9809,move1
26,6359,200,2834,788,9800,2834,788,9800,move1
26,6370,200,2896,767,9785,2896,767,9785,move1
26,6383,200,2940,773,9778,2940,773,9778,move1
26,6375,200,2976,785,9780,2976,785,9780,move1
26,6371,200,2992,838,9766,2992,838,9766,move1
26,6384,200,2975,921,9750,2975,921,9750,move1
26,6423,200,2969,966,9763,2969,966,9763,move1
